"Time","EPU","Depth","Var","Value","Source","temp.threshold","Units"
1993,"GOM","0-25m",">7°C",0.471160981578848,"GLORYS",7,"Proportion"
1993,"GOM","0-25m",">8.5°C",0.3026075443404,"GLORYS",8.5,"Proportion"
1993,"GOM","0-25m",">8°C",0.357941650879252,"GLORYS",8,"Proportion"
1993,"GOM","0-25m",">9.5°C",0.206015088064608,"GLORYS",9.5,"Proportion"
1993,"GOM","0-25m",">9°C",0.246527616854465,"GLORYS",9,"Proportion"
1993,"GOM","100-300m",">0.5°C",0.999999943472632,"GLORYS",0.5,"Proportion"
1993,"GOM","100-300m",">1.5°C",0.999999943472632,"GLORYS",1.5,"Proportion"
1993,"GOM","100-300m",">10.5°C",0.00415567834554352,"GLORYS",10.5,"Proportion"
1993,"GOM","100-300m",">10°C",0.00852597563883655,"GLORYS",10,"Proportion"
1993,"GOM","100-300m",">11.5°C",0.0006459633530848,"GLORYS",11.5,"Proportion"
1993,"GOM","100-300m",">11°C",0.0016690689512394,"GLORYS",11,"Proportion"
1993,"GOM","100-300m",">12.5°C",0,"GLORYS",12.5,"Proportion"
1993,"GOM","100-300m",">12°C",0.00014423290612274,"GLORYS",12,"Proportion"
1993,"GOM","100-300m",">13.5°C",0,"GLORYS",13.5,"Proportion"
1993,"GOM","100-300m",">13°C",0,"GLORYS",13,"Proportion"
1993,"GOM","100-300m",">14.5°C",0,"GLORYS",14.5,"Proportion"
1993,"GOM","100-300m",">14°C",0,"GLORYS",14,"Proportion"
1993,"GOM","100-300m",">15.5°C",0,"GLORYS",15.5,"Proportion"
1993,"GOM","100-300m",">15°C",0,"GLORYS",15,"Proportion"
1993,"GOM","100-300m",">16.5°C",0,"GLORYS",16.5,"Proportion"
1993,"GOM","100-300m",">16°C",0,"GLORYS",16,"Proportion"
1993,"GOM","100-300m",">17.5°C",0,"GLORYS",17.5,"Proportion"
1993,"GOM","100-300m",">17°C",0,"GLORYS",17,"Proportion"
1993,"GOM","100-300m",">18.5°C",0,"GLORYS",18.5,"Proportion"
1993,"GOM","100-300m",">18°C",0,"GLORYS",18,"Proportion"
1993,"GOM","100-300m",">19.5°C",0,"GLORYS",19.5,"Proportion"
1993,"GOM","100-300m",">19°C",0,"GLORYS",19,"Proportion"
1993,"GOM","100-300m",">1°C",0.999999943472632,"GLORYS",1,"Proportion"
1993,"GOM","100-300m",">2.5°C",0.999818760292101,"GLORYS",2.5,"Proportion"
1993,"GOM","100-300m",">20.5°C",0,"GLORYS",20.5,"Proportion"
1993,"GOM","100-300m",">20°C",0,"GLORYS",20,"Proportion"
1993,"GOM","100-300m",">21.5°C",0,"GLORYS",21.5,"Proportion"
1993,"GOM","100-300m",">21°C",0,"GLORYS",21,"Proportion"
1993,"GOM","100-300m",">22.5°C",0,"GLORYS",22.5,"Proportion"
