COMNAME,SVSPP,ITISSPP,NESPP3,SCINAME,Fed_Managed,SOE_17,EMAX,RPATH,SOE_18,SizeCat,Min_size,Garrison_Link,NEIEA
BLACKMOUTH BASS,114,168335,291,SYNAGROPS BELLUS,NA,Other,Benthivore Perciformes,Mesopelagics,Other,NA,NA,NA,Other
BLACKMOUTHED ALFONSIN,261,166140,NA,HOPLOSTETHUS MEDITERRANEUS,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
BLACKNOSE SHARK,354,160304,503,CARCHARHINUS ACRONOTUS,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
BLACKSPOTTED STICKLEBACK,901,166385,NA,GASTEROSTEUS WHEATLANDI,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BLACKTIP SHARK,357,160318,487,CARCHARHINUS LIMBATUS,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
BLACKWING SEAROBIN,768,166991,NA,PRIONOTUS RUBIO,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
BLADDER WRACK,NA,11335,819,FUCUS VESICLOSUS,NA,Other,NA,Fauna,Other,NA,NA,NA,NA
BLOODWORMS,NA,66107,823,GLYCERA DIBRANCHIATA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
BLOTCHED CUSK-EEL,458,164841,NA,OPHIDION GRAYI,NA,Other,Benthivore Gadiformes,OtherDemersals,Other,NA,NA,NA,NA
BLOTCHED SWIMMING CRAB,516,98721,NA,PORTUNUS SPINIMANUS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
BLUE ANGELFISH,665,169626,NA,HOLACANTHUS BERMUDENSIS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BLUE CRAB,314,98696,700,CALLINECTES SAPIDUS,NA,Benthivore,NA,Megabenthos,Benthivore,NA,NA,NA,BenthicInvert
BLUE HAKE,81,164672,664,ANTIMORA ROSTRATA,NA,Other,Benthivore Gadiformes,OtherDemersals,Other,NA,NA,NA,Other
BLUE MARLIN,707,172491,217,MAKAIRA NIGRICANS,NA,Other,NA,LargePelagics,Other,NA,NA,NA,NA
BLUE MUSSEL,343,79454,781,MYTILUS EDULIS,NA,Benthos,NA,Megabenthos,Benthos,NA,NA,NA,BenthicInvert
BLUE PARROTFISH,686,170811,NA,SCARUS COERULEUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BLUE RUNNER,129,168612,213,CARANX CRYSOS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BLUE SHARK,17,160424,493,PRIONACE GLAUCA,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
BLUE TANG,742,172254,NA,ACANTHURUS COERULEUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BLUEBACK HERRING,34,161703,112,ALOSA AESTIVALIS,NA,Mesoplanktivore,NA,RiverHerring,Planktivore,NA,NA,NA,Forage Fish
BLUEFIN TUNA,747,172421,467,THUNNUS THYNNUS,NA,Apex Predator,NA,LargePelagics,Apex Predator,NA,NA,NA,NA
BLUEFISH,135,168559,23,POMATOMUS SALTATRIX,MAFMC,Piscivore,NA,Bluefish,Piscivore,S,10,Piscivores,Medium pelagics
BLUEFISH,135,168559,23,POMATOMUS SALTATRIX,MAFMC,Piscivore,NA,Bluefish,Piscivore,M,31,Piscivores,Medium pelagics
BLUEFISH,135,168559,23,POMATOMUS SALTATRIX,MAFMC,Piscivore,NA,Bluefish,Piscivore,L,71,Piscivores,Medium pelagics
BLUELINE TILEFISH,621,168543,444,CAULOLATILUS MICROPS,MAFMC,Other,Southern Perciformes,Tilefish,Other,NA,NA,NA,NA
BLUELIP PARROTFISH,684,170857,NA,CRYPTOTOMUS ROSEUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BLUESPOTTED CORNETFISH,120,166416,NA,FISTULARIA TABACARIA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BLUESPOTTED SEAROBIN,766,166990,NA,PRIONOTUS ROSEUS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
